code,date,lstm,arima,fbprophet,RL,mail_news,mail_news_nsi,asia_news,asia_news_nsi,sampro_youtube,hk_youtube,suka_youtube,change
5930,2021-09-24,76530.48,77680.41,75640.57,-1,-1,-1,1,1,-1,-1,0,0
5930,2021-09-27,-1.0,-1.0,-1.0,-1,-1,-1,1,1,-1,-1,0,1
5930,2021-09-28,1.0,-1.0,-1.0,0,1,1,-1,-1,-1,-1,0,-1
5930,2021-09-29,1.0,1.0,-1.0,1,1,1,-1,-1,-1,-1,0,-1
5930,2021-09-30,-1.0,-1.0,-1.0,-1,1,1,-1,-1,-1,1,0,0
5930,2021-10-01,-1.0,1.0,-1.0,-1,1,1,-1,-1,1,1,0,-1
5930,2021-10-05,-1.0,-1.0,-1.0,0,1,1,-1,-1,-1,1,0,-1
5930,2021-10-06,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,1,0,-1
5930,2021-10-07,-1.0,1.0,-1.0,-1,1,1,1,1,-1,-1,0,0
5930,2021-10-08,-1.0,-1.0,-1.0,-1,1,1,-1,-1,-1,-1,0,0
